Comunidad,Grupo Penal,Año,Hechos conocidos,Hechos esclarecidos
Cantabria,Contra la propiedad industrial/intelectual,2011,0.0,0.0
Cantabria,Delitos sexuales,2019,18.0,11.0
Cantabria,Delitos sexuales,2018,15.0,9.0
Cantabria,Delitos sexuales,2017,11.0,9.0
Cantabria,Delitos sexuales,2016,18.0,11.0
Cantabria,Delitos sexuales,2015,17.0,12.0
Cantabria,Delitos sexuales,2014,12.0,5.0
Cantabria,Delitos sexuales,2013,4.0,3.0
Cantabria,Delitos sexuales,2012,6.0,4.0
Cantabria,Delitos sexuales,2011,7.0,4.0
Cantabria,Falsificación informática,2019,26.0,14.0
Cantabria,Falsificación informática,2018,23.0,9.0
Cantabria,Falsificación informática,2017,18.0,7.0
Cantabria,Falsificación informática,2016,22.0,12.0
Cantabria,Falsificación informática,2015,6.0,2.0
Cantabria,Falsificación informática,2014,9.0,5.0
Cantabria,Falsificación informática,2013,5.0,3.0
Cantabria,Falsificación informática,2012,7.0,5.0
Cantabria,Falsificación informática,2011,13.0,4.0
Cantabria,Fraude informático,2019,1766.0,230.0
Cantabria,Fraude informático,2018,1704.0,178.0
Cantabria,Fraude informático,2017,1419.0,191.0
Cantabria,Fraude informático,2016,1028.0,177.0
Cantabria,Fraude informático,2015,776.0,153.0
Cantabria,Fraude informático,2014,589.0,141.0
Cantabria,Fraude informático,2013,281.0,110.0
Cantabria,Fraude informático,2012,233.0,96.0
Cantabria,Fraude informático,2011,231.0,75.0
Cantabria,Interferencia en los datos y en el sistema,2019,21.0,1.0
