Comunidad,Grupo Penal,Año,Hechos conocidos
Castilla y León,Delitos sexuales,2019,91.0
Castilla y León,Delitos sexuales,2018,62.0
Castilla y León,Delitos sexuales,2017,61.0
Castilla y León,Delitos sexuales,2016,58.0
Castilla y León,Delitos sexuales,2015,44.0
Castilla y León,Delitos sexuales,2014,42.0
Castilla y León,Delitos sexuales,2013,21.0
Castilla y León,Delitos sexuales,2012,30.0
Castilla y León,Delitos sexuales,2011,24.0
Castilla y León,Falsificación informática,2019,303.0
Castilla y León,Falsificación informática,2018,263.0
Castilla y León,Falsificación informática,2017,245.0
Castilla y León,Falsificación informática,2016,170.0
Castilla y León,Falsificación informática,2015,99.0
Castilla y León,Falsificación informática,2014,68.0
Castilla y León,Falsificación informática,2013,56.0
Castilla y León,Falsificación informática,2012,36.0
Castilla y León,Falsificación informática,2011,42.0
Castilla y León,Fraude informático,2019,9464.0
Castilla y León,Fraude informático,2018,6511.0
Castilla y León,Fraude informático,2017,4606.0
Castilla y León,Fraude informático,2016,3370.0
Castilla y León,Fraude informático,2015,2411.0
Castilla y León,Fraude informático,2014,1874.0
Castilla y León,Fraude informático,2013,1403.0
Castilla y León,Fraude informático,2012,1172.0
Castilla y León,Fraude informático,2011,849.0
Castilla y León,Interferencia en los datos y en el sistema,2019,76.0
Castilla y León,Interferencia en los datos y en el sistema,2018,93.0
Castilla y León,Interferencia en los datos y en el sistema,2017,79.0
Castilla y León,Interferencia en los datos y en el sistema,2016,102.0
Castilla y León,Interferencia en los datos y en el sistema,2015,64.0
Castilla y León,Interferencia en los datos y en el sistema,2014,21.0
Castilla y León,Interferencia en los datos y en el sistema,2013,17.0
Castilla y León,Interferencia en los datos y en el sistema,2012,11.0
Castilla y León,Interferencia en los datos y en el sistema,2011,16.0
