Comunidad,Grupo Penal,Año,Hechos esclarecidos
Asturias,Contra la propiedad industrial/intelectual,2015,1.0
Asturias,Contra la propiedad industrial/intelectual,2014,1.0
Asturias,Contra la propiedad industrial/intelectual,2013,3.0
Asturias,Contra la propiedad industrial/intelectual,2012,2.0
Asturias,Contra la propiedad industrial/intelectual,2011,2.0
Asturias,Delitos sexuales,2019,15.0
Asturias,Delitos sexuales,2018,24.0
Asturias,Delitos sexuales,2017,13.0
Asturias,Delitos sexuales,2016,13.0
Asturias,Delitos sexuales,2015,13.0
Asturias,Delitos sexuales,2014,18.0
Asturias,Delitos sexuales,2013,17.0
Asturias,Delitos sexuales,2012,15.0
Asturias,Delitos sexuales,2011,7.0
Asturias,Falsificación informática,2019,29.0
Asturias,Falsificación informática,2018,18.0
Asturias,Falsificación informática,2017,16.0
Asturias,Falsificación informática,2016,14.0
Asturias,Falsificación informática,2015,9.0
Asturias,Falsificación informática,2014,9.0
Asturias,Falsificación informática,2013,17.0
Asturias,Falsificación informática,2012,10.0
Asturias,Falsificación informática,2011,4.0
Asturias,Fraude informático,2019,401.0
Asturias,Fraude informático,2018,316.0
Asturias,Fraude informático,2017,312.0
Asturias,Fraude informático,2016,288.0
Asturias,Fraude informático,2015,243.0
Asturias,Fraude informático,2014,197.0
Asturias,Fraude informático,2013,188.0
Asturias,Fraude informático,2012,142.0
Asturias,Fraude informático,2011,129.0
Asturias,Interferencia en los datos y en el sistema,2019,0.0
Asturias,Interferencia en los datos y en el sistema,2018,1.0
Asturias,Interferencia en los datos y en el sistema,2017,0.0
Asturias,Interferencia en los datos y en el sistema,2016,0.0
Asturias,Interferencia en los datos y en el sistema,2015,1.0
Asturias,Interferencia en los datos y en el sistema,2014,0.0
Asturias,Interferencia en los datos y en el sistema,2013,3.0
Asturias,Interferencia en los datos y en el sistema,2012,3.0
Asturias,Interferencia en los datos y en el sistema,2011,2.0
Baleares,Acceso e interceptación ilícita,2019,29.0
Baleares,Acceso e interceptación ilícita,2018,20.0
Baleares,Acceso e interceptación ilícita,2017,13.0
Baleares,Acceso e interceptación ilícita,2016,12.0
Baleares,Acceso e interceptación ilícita,2015,26.0
Baleares,Acceso e interceptación ilícita,2014,22.0
Baleares,Acceso e interceptación ilícita,2013,20.0
Baleares,Acceso e interceptación ilícita,2012,15.0
Baleares,Acceso e interceptación ilícita,2011,13.0
Baleares,Amenazas y coacciones,2019,271.0
Baleares,Amenazas y coacciones,2018,242.0
Baleares,Amenazas y coacciones,2017,268.0
Baleares,Amenazas y coacciones,2016,232.0
Baleares,Amenazas y coacciones,2015,270.0
Baleares,Amenazas y coacciones,2014,249.0
Baleares,Amenazas y coacciones,2013,219.0
Baleares,Amenazas y coacciones,2012,170.0
Baleares,Amenazas y coacciones,2011,207.0
Baleares,Contra el honor,2019,24.0
Baleares,Contra el honor,2018,19.0
Baleares,Contra el honor,2017,8.0
Baleares,Contra el honor,2016,23.0
Baleares,Contra el honor,2015,23.0
Baleares,Contra el honor,2014,34.0
Baleares,Contra el honor,2013,28.0
Baleares,Contra el honor,2012,16.0
Baleares,Contra el honor,2011,20.0
Baleares,Contra la propiedad industrial/intelectual,2019,2.0
Baleares,Contra la propiedad industrial/intelectual,2018,3.0
Baleares,Contra la propiedad industrial/intelectual,2017,1.0
Baleares,Contra la propiedad industrial/intelectual,2016,10.0
Baleares,Contra la propiedad industrial/intelectual,2015,8.0
Baleares,Contra la propiedad industrial/intelectual,2014,1.0
Baleares,Contra la propiedad industrial/intelectual,2013,3.0
Baleares,Contra la propiedad industrial/intelectual,2012,2.0
Baleares,Contra la propiedad industrial/intelectual,2011,6.0
Baleares,Delitos sexuales,2019,18.0
Baleares,Delitos sexuales,2018,26.0
Baleares,Delitos sexuales,2017,29.0
Baleares,Delitos sexuales,2016,39.0
Baleares,Delitos sexuales,2015,12.0
Baleares,Delitos sexuales,2014,25.0
Baleares,Delitos sexuales,2013,32.0
Baleares,Delitos sexuales,2012,14.0
Baleares,Delitos sexuales,2011,4.0
Baleares,Falsificación informática,2019,22.0
Baleares,Falsificación informática,2018,21.0
Baleares,Falsificación informática,2017,17.0
Baleares,Falsificación informática,2016,11.0
Baleares,Falsificación informática,2015,12.0
Baleares,Falsificación informática,2014,14.0
Baleares,Falsificación informática,2013,6.0
Baleares,Falsificación informática,2012,16.0
Baleares,Falsificación informática,2011,14.0
Baleares,Fraude informático,2019,521.0
Baleares,Fraude informático,2018,308.0
Baleares,Fraude informático,2017,241.0
Baleares,Fraude informático,2016,196.0
Baleares,Fraude informático,2015,214.0
Baleares,Fraude informático,2014,180.0
Baleares,Fraude informático,2013,211.0
Baleares,Fraude informático,2012,194.0
Baleares,Fraude informático,2011,135.0
Baleares,Interferencia en los datos y en el sistema,2019,1.0
Baleares,Interferencia en los datos y en el sistema,2018,3.0
Baleares,Interferencia en los datos y en el sistema,2017,2.0
Baleares,Interferencia en los datos y en el sistema,2016,3.0
Baleares,Interferencia en los datos y en el sistema,2015,3.0
Baleares,Interferencia en los datos y en el sistema,2014,2.0
Baleares,Interferencia en los datos y en el sistema,2013,0.0
Baleares,Interferencia en los datos y en el sistema,2012,1.0
Baleares,Interferencia en los datos y en el sistema,2011,2.0
Canarias,Acceso e interceptación ilícita,2019,83.0
Canarias,Acceso e interceptación ilícita,2018,42.0
Canarias,Acceso e interceptación ilícita,2017,44.0
Canarias,Acceso e interceptación ilícita,2016,38.0
Canarias,Acceso e interceptación ilícita,2015,37.0
Canarias,Acceso e interceptación ilícita,2014,34.0
Canarias,Acceso e interceptación ilícita,2013,31.0
Canarias,Acceso e interceptación ilícita,2012,22.0
Canarias,Acceso e interceptación ilícita,2011,23.0
Canarias,Amenazas y coacciones,2019,656.0
Canarias,Amenazas y coacciones,2018,664.0
Canarias,Amenazas y coacciones,2017,596.0
Canarias,Amenazas y coacciones,2016,621.0
Canarias,Amenazas y coacciones,2015,558.0
Canarias,Amenazas y coacciones,2014,546.0
Canarias,Amenazas y coacciones,2013,523.0
Canarias,Amenazas y coacciones,2012,556.0
Canarias,Amenazas y coacciones,2011,576.0
Canarias,Contra el honor,2019,52.0
Canarias,Contra el honor,2018,45.0
Canarias,Contra el honor,2017,41.0
Canarias,Contra el honor,2016,43.0
Canarias,Contra el honor,2015,81.0
Canarias,Contra el honor,2014,84.0
Canarias,Contra el honor,2013,54.0
Canarias,Contra el honor,2012,71.0
Canarias,Contra el honor,2011,79.0
Canarias,Contra la propiedad industrial/intelectual,2019,4.0
Canarias,Contra la propiedad industrial/intelectual,2018,3.0
Canarias,Contra la propiedad industrial/intelectual,2017,3.0
Canarias,Contra la propiedad industrial/intelectual,2016,3.0
Canarias,Contra la propiedad industrial/intelectual,2015,5.0
Canarias,Contra la propiedad industrial/intelectual,2014,2.0
Canarias,Contra la propiedad industrial/intelectual,2013,0.0
Canarias,Contra la propiedad industrial/intelectual,2012,2.0
Canarias,Contra la propiedad industrial/intelectual,2011,9.0
Canarias,Delitos sexuales,2019,88.0
Canarias,Delitos sexuales,2018,70.0
Canarias,Delitos sexuales,2017,57.0
Canarias,Delitos sexuales,2016,40.0
Canarias,Delitos sexuales,2015,46.0
Canarias,Delitos sexuales,2014,43.0
Canarias,Delitos sexuales,2013,32.0
Canarias,Delitos sexuales,2012,49.0
Canarias,Delitos sexuales,2011,24.0
Canarias,Falsificación informática,2019,79.0
Canarias,Falsificación informática,2018,51.0
Canarias,Falsificación informática,2017,126.0
Canarias,Falsificación informática,2016,42.0
Canarias,Falsificación informática,2015,36.0
Canarias,Falsificación informática,2014,31.0
Canarias,Falsificación informática,2013,19.0
Canarias,Falsificación informática,2012,16.0
Canarias,Falsificación informática,2011,17.0
Canarias,Fraude informático,2019,985.0
Canarias,Fraude informático,2018,646.0
Canarias,Fraude informático,2017,535.0
Canarias,Fraude informático,2016,386.0
Canarias,Fraude informático,2015,334.0
Canarias,Fraude informático,2014,297.0
Canarias,Fraude informático,2013,282.0
Canarias,Fraude informático,2012,271.0
Canarias,Fraude informático,2011,222.0
Canarias,Interferencia en los datos y en el sistema,2019,8.0
Canarias,Interferencia en los datos y en el sistema,2018,3.0
Canarias,Interferencia en los datos y en el sistema,2017,2.0
Canarias,Interferencia en los datos y en el sistema,2016,3.0
Canarias,Interferencia en los datos y en el sistema,2015,5.0
Canarias,Interferencia en los datos y en el sistema,2014,2.0
Canarias,Interferencia en los datos y en el sistema,2013,4.0
Canarias,Interferencia en los datos y en el sistema,2012,0.0
Canarias,Interferencia en los datos y en el sistema,2011,3.0
Cantabria,Acceso e interceptación ilícita,2019,14.0
Cantabria,Acceso e interceptación ilícita,2018,10.0
Cantabria,Acceso e interceptación ilícita,2017,9.0
Cantabria,Acceso e interceptación ilícita,2016,6.0
Cantabria,Acceso e interceptación ilícita,2015,14.0
Cantabria,Acceso e interceptación ilícita,2014,9.0
Cantabria,Acceso e interceptación ilícita,2013,20.0
Cantabria,Acceso e interceptación ilícita,2012,10.0
Cantabria,Acceso e interceptación ilícita,2011,4.0
Cantabria,Amenazas y coacciones,2019,137.0
Cantabria,Amenazas y coacciones,2018,147.0
Cantabria,Amenazas y coacciones,2017,143.0
Cantabria,Amenazas y coacciones,2016,134.0
Cantabria,Amenazas y coacciones,2015,114.0
Cantabria,Amenazas y coacciones,2014,144.0
Cantabria,Amenazas y coacciones,2013,109.0
Cantabria,Amenazas y coacciones,2012,100.0
Cantabria,Amenazas y coacciones,2011,90.0
Cantabria,Contra el honor,2019,9.0
Cantabria,Contra el honor,2018,14.0
Cantabria,Contra el honor,2017,12.0
Cantabria,Contra el honor,2016,14.0
Cantabria,Contra el honor,2015,20.0
Cantabria,Contra el honor,2014,23.0
Cantabria,Contra el honor,2013,20.0
Cantabria,Contra el honor,2012,19.0
Cantabria,Contra el honor,2011,9.0
Cantabria,Contra la propiedad industrial/intelectual,2019,0.0
Cantabria,Contra la propiedad industrial/intelectual,2018,0.0
Cantabria,Contra la propiedad industrial/intelectual,2017,0.0
Cantabria,Contra la propiedad industrial/intelectual,2016,0.0
Cantabria,Contra la propiedad industrial/intelectual,2015,3.0
Cantabria,Contra la propiedad industrial/intelectual,2014,1.0
Cantabria,Contra la propiedad industrial/intelectual,2013,2.0
Cantabria,Contra la propiedad industrial/intelectual,2012,0.0
Cantabria,Contra la propiedad industrial/intelectual,2011,0.0
Cantabria,Delitos sexuales,2019,11.0
Cantabria,Delitos sexuales,2018,9.0
Cantabria,Delitos sexuales,2017,9.0
Cantabria,Delitos sexuales,2016,11.0
Cantabria,Delitos sexuales,2015,12.0
Cantabria,Delitos sexuales,2014,5.0
Cantabria,Delitos sexuales,2013,3.0
Cantabria,Delitos sexuales,2012,4.0
Cantabria,Delitos sexuales,2011,4.0
Cantabria,Falsificación informática,2019,14.0
Cantabria,Falsificación informática,2018,9.0
Cantabria,Falsificación informática,2017,7.0
Cantabria,Falsificación informática,2016,12.0
Cantabria,Falsificación informática,2015,2.0
Cantabria,Falsificación informática,2014,5.0
Cantabria,Falsificación informática,2013,3.0
Cantabria,Falsificación informática,2012,5.0
Cantabria,Falsificación informática,2011,4.0
Cantabria,Fraude informático,2019,230.0
Cantabria,Fraude informático,2018,178.0
Cantabria,Fraude informático,2017,191.0
Cantabria,Fraude informático,2016,177.0
Cantabria,Fraude informático,2015,153.0
Cantabria,Fraude informático,2014,141.0
Cantabria,Fraude informático,2013,110.0
Cantabria,Fraude informático,2012,96.0
Cantabria,Fraude informático,2011,75.0
Cantabria,Interferencia en los datos y en el sistema,2019,1.0
Cantabria,Interferencia en los datos y en el sistema,2018,2.0
Cantabria,Interferencia en los datos y en el sistema,2017,1.0
Cantabria,Interferencia en los datos y en el sistema,2016,1.0
Cantabria,Interferencia en los datos y en el sistema,2015,0.0
Cantabria,Interferencia en los datos y en el sistema,2014,0.0
Cantabria,Interferencia en los datos y en el sistema,2013,2.0
Cantabria,Interferencia en los datos y en el sistema,2012,0.0
